analysis             sr                         o        b        db             s             ds              s95obs   s95exp   robscons       rexpcons       
atlas_1604_01306     SR1                        264.0    295.0    34.0           0.0           0.319981046023  49.0     63.0     0              0              
atlas_1605_09318     SR-Gbb-A                   0.0      1.3      0.4            0.0           0.329980453711  2.9      3.9      0              0              
atlas_1609_01599     3lZ1b4j                    7.0      11.0     2.8            0.0           0.319981046023  6.0      8.7      0              0              
atlas_1704_03848     SRI3                       236.0    273.0    37.0           0.0           3.60978499082   47.0     64.0     0              0              
atlas_1706_03731     Rpc2L0bH                   3.0      2.4      1.0            0.0           3.60978499082   5.6      5.1      0              0              
atlas_1708_07875     sr2-highmass               5.0      3.7      1.4            0.0           3.60978499082   7.22     6.137    0              0              
atlas_1709_04183     SRB-T0                     206.0    179.0    26.0           0.0           3.60978499082   76.0     57.0     0              0              
atlas_1712_02332     6j-1200                    250.0    249.0    30.0           0.0           3.60978499082   62.0     64.0     0              0              
atlas_1712_08119     SRI-MLL-60                 52.0     43.0     7.0            0.0           3.60978499082   27.0     20.0     0              0              
atlas_1802_03158     SRaaSH                     0.0      0.48     0.27613402543  0.0           3.60978499082   2.97     2.9      0              0              
atlas_1803_02762     S-3l-WZ-1Ja                1.0      2.2      0.5            0.0           3.60978499082   3.5      4.5      0              0              
atlas_1807_07447     2e1j                       26950.0  27000.0  6800.0         27908.484049  2750.6206955    10258.0  10360.0  2.28089940616  2.25844267456  
atlas_1908_03122     SRC26                      4.0      3.7      0.9            0.0           13.8991885328   5.8      5.4      0              0              
atlas_1908_08215     SR-DF-1Ji                  3.0      2.7      0.8            0.0           13.8991885328   5.4      5.1      0              0              
atlas_1909_08457     Rpc3LSS1b                  4.0      3.5      1.5            0.0           13.8991885328   6.5      5.9      0              0              
atlas_1911_06660     SRhighMass                 7.0      10.2     3.3            0.0           13.8991885328   6.7      8.6      0              0              
atlas_1911_12606     VBF-inc-40                 82.0     74.0     10.0           0.0           13.8991885328   33.0     26.0     0              0              
atlas_2004_10894     Cat9                       71.0     69.0     4.0            0.0           13.8991885328   21.0     19.0     0              0              
atlas_2004_14060     SRB-T0                     292.0    276.0    24.0           0.0           13.8991885328   66.0     57.0     0              0              
atlas_2010_14293     BDT-GGd4                   291.0    298.0    23.0           0.0           13.8991885328   49.0     55.0     0              0              
atlas_2101_01629     2J_bveto_1300              84.0     73.0     12.0           0.0           13.8991885328   38.0     29.0     0              0              
atlas_2103_11684     SR0-ZZtight                17.0     18.4     3.4            0.0           13.8991885328   10.4     11.1     0              0              
atlas_2106_09609     SR9                        25.0     22.7     1.9            0.0           13.8991885328   13.0     11.5     0              0              
atlas_2211_08028     SR-Gtb-C                   4.0      6.0      2.2            0.0           13.8991885328   5.0      7.0      0              0              
atlas_conf_2015_082  SRZ                        21.0     10.3     2.3            0.0           0.319981046023  20.0     10.2     0              0              
atlas_conf_2016_013  1J_6j_3b-HM                215.0    184.0    56.0           0.0           0.319981046023  115.0    101.0    0              0              
atlas_conf_2016_050  bCbv                       7.0      7.4      1.8            0.0           1.3199194456    7.2      7.3      0              0              
atlas_conf_2016_054  GG6J_high_mass             3.0      3.8      1.2            0.0           1.4799147071    5.0      5.6      0              0              
atlas_conf_2016_066  SRL                        3.0      0.78     0.18           0.0           1.32991766866   6.34     3.17     0              0              
atlas_conf_2016_076  SR_t_sf                    5.0      4.7      2.0            0.0           1.32991766866   6.3      6.1      0              0              
atlas_conf_2016_096  2LCSF                      9.0      10.2     3.3            0.0           1.32991766866   8.3      9.1      0              0              
atlas_conf_2017_060  EM10                       245.0    226.0    16.0           0.0           3.60978499082   58.0     44.0     0              0              
atlas_conf_2019_020  SR-low                     51.0     46.0     5.0            0.0           13.8991885328   21.0     18.0     0              0              
atlas_conf_2020_048  IM12                       207.0    221.0    18.0           0.0           13.8991885328   35.0     44.0     0              0              
cms_pas_sus_15_011   SRD_cen_c.mediumMll_b_all  271.0    247.9    17.8           0.0           0.219986969141  65.3     48.2     0              0              
cms_sus_16_025       SR2_stop_2high_pt_1        9.0      15.6     7.1            0.0           1.2899247764    8.2      10.7     0              0              
cms_sus_16_039       SR_J01                     29.0     30.0     7.0            0.0           3.58978854469   16.3     17.2     0              0              
cms_sus_16_048       SR2_stop_3high_pt_1        4.0      4.7      1.3            0.0           3.58978854469   5.6      6.1      0              0              
